TRI,Original Best AIF,New Best AIF (Weighted),Same AIF Selection?,Chemist Preference,Interpretation A,Score A,Interpretation B,Score B
TRI_27,I_2,I_2,True,B,AIF,0.0,DARA,1.0
TRI_28,I_13,I_2,False,A,DARA,1.0,AIF,0.5
TRI_31,I_4,I_2,False,A,AIF,1.0,DARA,1.0
TRI_32,I_3,I_2,False,B,DARA,1.0,AIF,1.0
TRI_38,I_2,I_2,True,neither A nor B,DARA,1.0,AIF,1.0
TRI_39,I_2,I_2,True,A,AIF,1.0,DARA,1.0
TRI_62,I_3,I_2,False,both A & B,AIF,1.0,DARA,1.0
TRI_63,I_3,I_2,False,both A & B,AIF,1.0,DARA,1.0
TRI_64,I_2,I_2,True,both A & B,DARA,1.0,AIF,1.0
TRI_78,I_2,I_2,True,B,AIF,1.0,DARA,1.0
TRI_79,I_4,I_2,False,A,DARA,1.0,AIF,1.0
TRI_80,I_3,I_2,False,A,DARA,1.0,AIF,1.0
TRI_81,I_2,I_2,True,A,AIF,1.0,DARA,1.0
TRI_82,I_3,I_2,False,neither A nor B,AIF,0.5,DARA,0.5
TRI_83,I_4,I_2,False,both A & B,AIF,1.0,DARA,1.0
TRI_84,I_3,I_2,False,neither A nor B,AIF,1.0,DARA,1.0
TRI_86,I_2,I_2,True,both A & B,AIF,1.0,DARA,1.0
TRI_90,I_3,I_2,False,both A & B,AIF,0.5,DARA,1.0
TRI_91,I_2,I_2,True,A,DARA,1.0,AIF,1.0
TRI_92,I_3,I_2,False,A,DARA,1.0,AIF,1.0
TRI_94,I_7,I_2,False,A,AIF,0.5,DARA,0.5
TRI_99,I_11,I_2,False,A,AIF,1.0,DARA,1.0
TRI_100,I_3,I_2,False,A,DARA,1.0,AIF,1.0
TRI_101,I_4,I_2,False,A,DARA,1.0,AIF,1.0
TRI_102,I_4,I_2,False,A,DARA,1.0,AIF,1.0
TRI_103,I_2,I_2,True,both A & B,AIF,0.5,DARA,0.5
TRI_104,I_2,I_2,True,A,AIF,0.5,DARA,0.5
TRI_105,I_3,I_2,False,B,AIF,1.0,DARA,1.0
TRI_106,I_4,I_2,False,A,AIF,0.5,DARA,0.0
TRI_112,I_4,I_2,False,neither A nor B,AIF,0.0,DARA,0.0
TRI_113,I_5,I_2,False,neither A nor B,AIF,0.0,DARA,0.0
TRI_130,I_4,I_2,False,A,DARA,1.0,AIF,0.0
TRI_172,I_7,I_2,False,B,DARA,1.0,AIF,1.0
TRI_180,I_2,I_2,True,B,AIF,1.0,DARA,1.0
TRI_181,I_8,I_2,False,neither A nor B,AIF,0.0,DARA,0.0
TRI_182,I_2,I_2,True,both A & B,AIF,1.0,DARA,1.0
TRI_183,I_3,I_2,False,A,DARA,0.5,AIF,0.5
TRI_184,I_7,I_2,False,A,AIF,0.5,DARA,0.5
TRI_185,I_3,I_2,False,B,DARA,1.0,AIF,1.0
TRI_186,I_5,I_2,False,B,DARA,1.0,AIF,1.0
TRI_189,I_3,I_2,False,neither A nor B,DARA,0.5,AIF,0.5
TRI_191,I_2,I_2,True,both A & B,AIF,1.0,DARA,1.0
TRI_192,I_2,I_2,True,A,AIF,,DARA,
TRI_194,I_3,I_2,False,A,DARA,1.0,AIF,0.5
TRI_197,I_4,I_4,True,B,DARA,0.0,AIF,0.5
