Name,trust_prob_base,trust_prob_extended,delta
PG_1245_1,0.5245532502041392,0.5940204670490863,0.06946721684494706
PG_1040_1,0.6242679158465028,0.6679478015150919,0.04367988566858916
PG_1450_1,0.35303999318788176,0.4541785834425247,0.10113859025464295
ARR_112,0.4103208718826715,0.49389382243604724,0.08357295055337571
ARR_101,0.24057230948631883,0.3043271682230223,0.06375485873670347
ARR_124,0.2883467408303302,0.2848861884358247,-0.0034605523945054895
ARR_66,0.34365542910898916,0.42629325222656966,0.0826378231175805
ARR_75,0.45960933174727464,0.4982516890228595,0.03864235727558485
ARR_54,0.6455778258555613,0.6765896168586815,0.031011791003120126
ARR_176,0.3850128557075859,0.4554182287569166,0.0704053730493307
ARR_155,0.5377483525119718,0.5754904227285241,0.03774207021655229
ARR_168,0.5222420603429152,0.5729741764245433,0.05073211608162809
ARR_169,0.4905406834266287,0.5749168795992644,0.0843761961726357
ARR_27,0.7553566804972518,0.7868264928784441,0.031469812381192286
ARR_110,0.4135169482642248,0.4974100546502983,0.0838931063860735
ARR_44,0.7528385029898206,0.7882088033747956,0.03537030038497502
ARR_74,0.37325965717469206,0.47728270812285867,0.1040230509481666
ARR_34,0.7734761950477044,0.7951995647427834,0.021723369695079042
ARR_162,0.5306902808314579,0.5156646527433237,-0.015025628088134124
ARR_192,0.627116569110407,0.6838962806389693,0.056779711528562316
ARR_186,0.6002472195027285,0.6537444761685547,0.053497256665826165
ARR_212,0.3066505443141333,0.3468774171317126,0.04022687281757931
ARR_190,0.6424603987274985,0.681832771365041,0.03937237263754245
ARR_208,0.8024733426821478,0.8160907619431587,0.013617419261010899
ARR_170,0.42262207312394245,0.5020747019978703,0.07945262887392784
ARR_194,0.783881972078497,0.8079721923900618,0.024090220311564825
ARR_206,0.4881807285491113,0.45844477380505316,-0.029735954744058157
TRI_27,0.39513216415632973,0.4583942565174543,0.06326209236112457
TRI_31,0.7029997977539908,0.7418971712836067,0.038897373529615864
TRI_39,0.48625122765039513,0.5654332885700848,0.07918206091968966
TRI_180,0.644169003821751,0.6831671502403233,0.038998146418572244
TRI_182,0.671096967902225,0.7152787249318029,0.04418175702957794
TRI_192,0.6411242551808649,0.6763735911852408,0.03524933600437585
TRI_194,0.6008767686774791,0.6461319405787393,0.04525517190126027
TRI_131,0.7941234923661137,0.8146052338248566,0.02048174145874293
TRI_102,0.8044426816438774,0.8229486674418993,0.018505985798021873
TRI_41,0.5862576196632735,0.6482919386234951,0.0620343189602216
TRI_43,0.7187882926119937,0.7515004409902657,0.032712148378271966
TRI_44,0.7656927021092544,0.7924179329382095,0.02672523082895506
TRI_62,0.7996979915819027,0.8191226471863983,0.019424655604495578
TRI_99,0.7996698974980792,0.818220042394106,0.0185501448960268
TRI_80,0.8083284046170874,0.823107548634941,0.014779144017853518
TRI_81,0.7426845047873996,0.7711543159937714,0.02846981120637182
TRI_90,0.6175239973980857,0.6581413088599363,0.04061731146185055
TRI_106,0.30050594804902864,0.34128411388921776,0.04077816584018912
TRI_114,0.6407698703038824,0.6852992988344067,0.04452942853052422
TRI_183,0.626798254737194,0.6681846051908215,0.041386350453627485
TRI_28,0.4787609839417299,0.5534619392578567,0.0747009553161268
TRI_104,0.6426299182829645,0.6474192177921916,0.0047892995092271295
TRI_111,0.6525919174910997,0.6941840196769988,0.04159210218589915
TRI_113,0.3688892095119742,0.42149812757112354,0.05260891805914936
PG_1048_1,0.6306986973150344,0.6842122619369165,0.05351356462188217
PG_0849_1,0.6562997479979659,0.694402909931278,0.03810316193331209
ARR_45,0.2676353209933107,0.29156359938701476,0.02392827839370404
ARR_46,0.37619617878497796,0.4108926670279,0.03469648824292204
TRI_197,0.5843508679579874,0.5311974455354944,-0.05315342242249299
